,data_pagamento,CACR11_rendimento,BPFF11_rendimento,AFHI11_rendimento,ALZR11_rendimento,RZAT11_rendimento,ARRI11_rendimento,AIEC11_rendimento,BARI11_rendimento,BBPO11_rendimento,BCFF11_rendimento,BRCR11_rendimento,BCIA11_rendimento,BCRI11_rendimento,BLMR11_rendimento,BLMG11_rendimento,BRCO11_rendimento,BTAL11_rendimento,BTCI11_rendimento,BTRA11_rendimento,BTLG11_rendimento,CPFF11_rendimento,CPTS11_rendimento,HGCR11_rendimento,HGFF11_rendimento,HGLG11_rendimento,HGRU11_rendimento,CYCR11_rendimento,CARE11_rendimento,DEVA11_rendimento,VRTA11_rendimento,GTWR11_rendimento,GGRC11_rendimento,GALG11_rendimento,HABT11_rendimento,HCTR11_rendimento,HGBS11_rendimento,HGRE11_rendimento,HSAF11_rendimento,HSLG11_rendimento,HSML11_rendimento,HFOF11_rendimento,IRDM11_rendimento,JPPA11_rendimento,JSAF11_rendimento,JSRE11_rendimento,KISU11_rendimento,KNRI11_rendimento,KCRE11_rendimento,KNHY11_rendimento,KNIP11_rendimento,KNCR11_rendimento,KNSC11_rendimento,KFOF11_rendimento,LGCP11_rendimento,MALL11_rendimento,MCCI11_rendimento,MCHF11_rendimento,MXRF11_rendimento,MFII11_rendimento,MGFF11_rendimento,MORC11_rendimento,MORE11_rendimento,NCHB11_rendimento,OUJP11_rendimento,PATL11_rendimento,PLCR11_rendimento,PORD11_rendimento,QAGR11_rendimento,RBRL11_rendimento,RBRY11_rendimento,RBRP11_rendimento,RBRF11_rendimento,RBRR11_rendimento,RECR11_rendimento,RECT11_rendimento,RBFF11_rendimento,RCRB11_rendimento,RBVA11_rendimento,RZAK11_rendimento,RZTR11_rendimento,SADI11_rendimento,SARE11_rendimento,SNCI11_rendimento,SNFF11_rendimento,TEPP11_rendimento,TGAR11_rendimento,TORD11_rendimento,TRXF11_rendimento,URPR11_rendimento,VGHF11_rendimento,VGIP11_rendimento,VGIR11_rendimento,CVBI11_rendimento,LVBI11_rendimento,PVBI11_rendimento,VCJR11_rendimento,VSLH11_rendimento,VCRI11_rendimento,VIUR11_rendimento,VILG11_rendimento,VINO11_rendimento,VISC11_rendimento,VTLT11_rendimento,WHGR11_rendimento,XPCI11_rendimento,XPIN11_rendimento,XPLG11_rendimento,XPML11_rendimento,XPPR11_rendimento,XPSF11_rendimento
159,2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1100,0.8900,0.6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2018-08-14,,,,,,,,,0.9809,0.5300,0.3978,,,,,,,,,,,0.8500,0.7700,,0.7500,0.6800,,,,,,,,,,1.1500,0.8000,,,,0.5400,,,,,,0.8200,,,,,,,,0.6200,,,0.0800,,,,,4.4554,0.5184,,,,,,,,,,,,,,,,,,,,,,0.7500,,,,,,,,,,,,,,,,0.6100,,,,,0.1341,,,
161,2018-08-15,,,,,,,,,,,,,0.8000,,,,,,,,,,,,,,,,,0.8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5600,0.6800,0.7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8458,,,,,,,,,,,,,,,,,,0.3600,,,,,,,,,,,,0.6500,0.7046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2018-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2018-08-24,,,,0.6403,,,,,,,,,,,,,,,,0.3412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4348,,
165,2018-08-28,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2018-09-10,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2018-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
168,2018-09-14,,,,,,,,,,,,,0.9000,,,,,,,,,0.8000,,,,,,,,0.9800,,,,,,,,,,,,,,,,,,,0.4200,0.8500,0.6900,,,,,,,,,,,,,,,,,,,,,,,,,0.5300,0.6300,0.7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5700,,,,
169,2018-09-17,,,,,,,,,1.0249,0.5300,0.3500,,,,,,,,,,,,0.7700,,0.7500,0.6800,,,,,,,,,,1.1500,0.8000,,,,0.5400,,,,,,0.8200,,,,,,,,0.6200,,,0.0700,,,,,5.5368,0.5000,,,,,,,1.3934,,,,,,,,,,,,,,,0.4900,,,,,,,,,,,,,,,,0.6100,,,,,0.5000,,,
170,2018-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9089,,,,,,,,,,,,,,,,,,0.4300,,,,,,,,,,,,0.6361,0.7100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2018-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0600,,,,,,,,,,,,,,,,,,
172,2018-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2018-09-25,,,,0.6419,,,,,,,,,,,,,,,,0.3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5001,,
174,2018-09-28,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2018-10-05,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2018-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
177,2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3200,0.5900,0.5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2018-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2018-10-15,,,,,,,,,1.0249,0.5300,0.3500,,0.8700,,,,,,,,,0.7800,0.7700,,0.7500,0.6800,,,,0.9800,,,,,,1.1500,0.6200,,,,0.5400,,,,,,0.8200,,,,,,0.1400,,0.6200,,,0.0700,,0.5000,,,1.3269,0.4122,,,,,,,0.4758,,,,,0.4700,0.6300,0.7000,,,,,,,,0.7500,,,,,,,,,,,,,,,,0.6100,,,,,0.7000,,,
180,2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000,,,,
181,2018-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5867,0.7500,,,,,,,,,,,,,0.7500,,,,,,,,,,,,,,,,,,,,,,,,
182,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0600,,,,,,,,,,,,,,,,,,
183,2018-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2018-10-25,,,,0.6466,,,,,,,,,,,,,,,,0.3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5000,,
185,2018-10-29,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,2018-11-08,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2018-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
188,2018-11-14,,,,,,,,,,,,,1.1600,,,,,,,,,,,,,,,,,1.1500,,,,,,,,,,,,,,,,,,,0.5700,0.8200,0.6300,,,,,,,,,,,,,,,,,,,,,,,,,,0.6300,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,,,,,,,,
190,2018-11-16,,,,,,,,,1.0249,0.5300,0.3500,,,,,,,,,,,0.8000,0.7700,,0.7500,0.6800,,,,,,,,,,1.1500,0.7400,,,,0.5400,,,,,,0.8200,,,,,,0.2900,,0.6200,,,0.0600,1.1400,,,,5.1753,0.9417,,,,,,,,,,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,0.6100,,,,0.6100,0.6000,,,
191,2018-11-16,,,,,,,,,1.0249,0.5300,0.3500,,,,,,,,,,,0.8000,0.7700,,0.7500,0.6800,,,,,,,,,,1.1500,0.7400,,,,0.5400,,,,,,0.8200,,,,,,0.2900,,0.6200,,,0.0600,1.1400,,,,5.1753,0.9417,,,,,,,,,,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,0.6100,,,,0.6100,0.6000,,,
192,2018-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2018-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9246,,,,,,,,,,,,,,,,,,0.7200,,,,,,,,,,,,0.6500,0.7994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2018-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0695,,,,,,,,,,,,,,,,,,
195,2018-11-23,,,,0.6466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000,,
196,2018-11-26,,,,,,,,,,,,,,,,,,,,0.3465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2018-11-30,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2018-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,,,,,,,,
199,2018-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,,,,,,,,
200,2018-12-07,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2018-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
202,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5600,0.8500,0.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2018-12-14,,,,,,,,,1.0249,0.5800,0.3500,,1.2300,,,,,,,,,0.8000,0.7700,,0.7500,0.6800,,,,1.0300,,,,,,1.3500,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.3300,,0.6400,,,,1.1300,,,,4.6176,0.5603,,,,,,,0.4820,,,,,0.4800,0.6300,0.7000,,,,,,,,1.0100,,,,,,,,,,,,,,,,0.6042,,,,,0.6450,,,
204,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9732,,,,,,,,,,,,,,,,,,0.7000,,,,,,,,,,,,0.6500,0.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0720,,,,,,,,,,,,,,,,,,
207,2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5900,,,,
208,2018-12-21,,,,0.6511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6500,,
209,2018-12-26,,,,,,,,,,,,,,,,,,,,0.3657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2018-12-28,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2019-01-08,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1052,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2500,,,,,,,,,,,,,,,,
212,2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4067,,,,,,,
213,2019-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3600,0.5500,0.5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
215,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
216,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
217,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
218,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
219,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
220,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
221,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
222,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
223,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
224,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
225,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
226,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
227,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
228,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
229,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
230,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
231,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
232,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
233,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
234,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
235,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
236,2019-01-15,,,,,,,,,1.0249,0.5800,0.3500,,0.9500,,,,,,,,,1.1500,0.9700,,0.7500,0.7800,,,,1.0100,,,,,,1.5200,0.7400,,,,0.5400,,,,,,0.7400,,,,,,0.4200,,0.6400,,,0.0600,1.1300,,,,3.9055,0.6829,,,,,,,0.5025,,,,,0.4800,0.5000,0.7000,,,,,,,,1.1300,,,,,,,,,,,,,,0.0218,,0.6042,,,,,0.6480,,,
